"_id","entity","user_id","date","request","action","operation","taskName","object_id","set_id","givDuration","givFreeTime","__v"
"5703a54e6e5aaa9f400001df","user","ertest","Tue Apr 05 2016 14:45:18 GMT+0000 (UTC)","/tasks/5703a5256e5aaa9f400001d3","updateTask","updated","משימה חדשה 3","6","A","02:00","01:00","0"
"57053f8c6e5aaa9f40000294","user","ertest","Wed Apr 06 2016 19:55:40 GMT+0000 (UTC)","/tasks/56bbbbd371cd185b5d00003b","updateTask","un-checked","לשתות קפה","","A","","","0"
"57053f8c6e5aaa9f40000295","user","ertest","Wed Apr 06 2016 19:55:40 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","checked","לצחצח שיניים","","A","01:00","01:00","0"
"57053f8c6e5aaa9f40000296","user","ertest","Wed Apr 06 2016 19:55:40 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","checked","לאכול","","A","03:00","01:00","0"
"57053f8c6e5aaa9f40000297","user","ertest","Wed Apr 06 2016 19:55:40 GMT+0000 (UTC)","/tasks/5703a5186e5aaa9f400001d1","updateTask","un-checked","משימה חדשה 1","","A","","","0"
"57053f8c6e5aaa9f40000298","user","ertest","Wed Apr 06 2016 19:55:40 GMT+0000 (UTC)","/tasks/5703a51e6e5aaa9f400001d2","updateTask","un-checked","משימה חדשה 2","","A","","","0"
"57053f8c6e5aaa9f40000299","user","ertest","Wed Apr 06 2016 19:55:40 GMT+0000 (UTC)","/tasks/5703a5256e5aaa9f400001d3","updateTask","un-checked","משימה חדשה 3","","A","","","0"
"57053f8c6e5aaa9f4000029a","user","ertest","Wed Apr 06 2016 19:55:40 GMT+0000 (UTC)","/tasks/57053ea26e5aaa9f40000292","updateTask","checked","לקום","","A","","","0"
"57053f8c6e5aaa9f4000029b","user","ertest","Wed Apr 06 2016 19:55:40 GMT+0000 (UTC)","/tasks/57053ec86e5aaa9f40000293","updateTask","checked","להתלבש ","","A","","","0"
"57053fe96e5aaa9f4000029c","user","ertest","Wed Apr 06 2016 19:57:13 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","updated","לצחצח שיניים","4","A","01:00","01:00","0"
"57053fe96e5aaa9f4000029d","user","ertest","Wed Apr 06 2016 19:57:13 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","updated","לאכול","3","A","10:00","01:00","0"
"57053fe96e5aaa9f4000029e","user","ertest","Wed Apr 06 2016 19:57:13 GMT+0000 (UTC)","/tasks/57053ea26e5aaa9f40000292","updateTask","updated","לקום","1","A","02:00","01:00","0"
"57053fe96e5aaa9f4000029f","user","ertest","Wed Apr 06 2016 19:57:13 GMT+0000 (UTC)","/tasks/57053ec86e5aaa9f40000293","updateTask","updated","להתלבש ","2","A","02:00","01:00","0"
"5706a3ed6e5aaa9f4000034a","user","ertest","Thu Apr 07 2016 21:16:13 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","updated","לצחצח שיניים","1","A","01:00","01:00","0"
"5706a3ed6e5aaa9f4000034b","user","ertest","Thu Apr 07 2016 21:16:13 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","updated","לאכול","2","A","10:00","01:00","0"
"5706a3ed6e5aaa9f4000034c","user","ertest","Thu Apr 07 2016 21:16:13 GMT+0000 (UTC)","/tasks/57053ec86e5aaa9f40000293","updateTask","updated","להתלבש ","3","A","02:00","01:00","0"
"5706a3ed6e5aaa9f4000034d","user","ertest","Thu Apr 07 2016 21:16:13 GMT+0000 (UTC)","/tasks/57053ea26e5aaa9f40000292","updateTask","updated","לקום","4","A","02:00","01:00","0"
"5706a4586e5aaa9f4000034e","user","ertest","Thu Apr 07 2016 21:18:00 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","updated","לצחצח שיניים","1","A","01:00","01:00","0"
"5706a4586e5aaa9f4000034f","user","ertest","Thu Apr 07 2016 21:18:00 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","updated","לאכול","2","A","10:00","01:00","0"
"5706a4586e5aaa9f40000350","user","ertest","Thu Apr 07 2016 21:18:00 GMT+0000 (UTC)","/tasks/57053ec86e5aaa9f40000293","updateTask","updated","להתלבש ","3","A","02:00","01:00","0"
"5706a4586e5aaa9f40000351","user","ertest","Thu Apr 07 2016 21:18:00 GMT+0000 (UTC)","/tasks/57053ea26e5aaa9f40000292","updateTask","updated","לקום","4","A","02:00","01:00","0"
"5706a46c6e5aaa9f40000353","user","ertest","Thu Apr 07 2016 21:18:20 GMT+0000 (UTC)","/tasks/56bbbbd371cd185b5d00003b","updateTask","un-checked","לשתות קפה","","A","","","0"
"5706a46c6e5aaa9f40000354","user","ertest","Thu Apr 07 2016 21:18:20 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","checked","לצחצח שיניים","1","A","01:00","01:00","0"
"5706a46c6e5aaa9f40000355","user","ertest","Thu Apr 07 2016 21:18:20 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","checked","לאכול","2","A","10:00","01:00","0"
"5706a46c6e5aaa9f40000356","user","ertest","Thu Apr 07 2016 21:18:20 GMT+0000 (UTC)","/tasks/5703a5186e5aaa9f400001d1","updateTask","un-checked","משימה חדשה 1","","A","","","0"
"5706a46c6e5aaa9f40000357","user","ertest","Thu Apr 07 2016 21:18:20 GMT+0000 (UTC)","/tasks/5703a51e6e5aaa9f400001d2","updateTask","un-checked","משימה חדשה 2","","A","","","0"
"5706a46c6e5aaa9f40000358","user","ertest","Thu Apr 07 2016 21:18:20 GMT+0000 (UTC)","/tasks/5703a5256e5aaa9f400001d3","updateTask","un-checked","משימה חדשה 3","","A","","","0"
