"_id","entity","object_id","date","request","action","set_id","user_id","result","taskName","__v"
"56e7795c483206f231000050","object spark","1","Tue Mar 15 2016 05:54:20 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:-1","","0"
"56e945e0483206f2310000ad","object spark","1","Wed Mar 16 2016 14:39:12 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:-1","","0"
"56ef623b483206f231000116","object spark","2","Mon Mar 21 2016 05:53:47 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:210000","לצחצח שיניים","0"
"56ef6244483206f231000118","object spark","5","Mon Mar 21 2016 05:53:56 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:60000","להכין תיק","0"
"56ef6260483206f23100011c","object spark","3","Mon Mar 21 2016 05:54:24 GMT+0000 (UTC)","/getDuration/A/3","getDuration","A","ertest","3:180000","לאכול","0"
"56ef6269483206f231000120","object spark","6","Mon Mar 21 2016 05:54:33 GMT+0000 (UTC)","/getDuration/A/6","getDuration","A","ertest","6:30000","לזרוק זבל","0"
"56ef626b483206f231000121","object spark","4","Mon Mar 21 2016 05:54:35 GMT+0000 (UTC)","/getDuration/A/4","getDuration","A","ertest","4:240000","להתלבש","0"
"56efa17d483206f231000123","object spark","1","Mon Mar 21 2016 10:23:41 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:240000","לשתות קפה","0"
"56efa1ef483206f231000125","object spark","2","Mon Mar 21 2016 10:25:35 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:210000","לצחצח שיניים","0"
"56f0b3c2e607488907000014","object spark","4","Tue Mar 22 2016 05:53:54 GMT+0000 (UTC)","/getDuration/A/4","getDuration","A","ertest","4:240000","להתלבש","0"
"56f0b3c5e607488907000017","object spark","3","Tue Mar 22 2016 05:53:57 GMT+0000 (UTC)","/getDuration/A/3","getDuration","A","ertest","3:180000","לאכול","0"
"56f0b3cae607488907000018","object spark","1","Tue Mar 22 2016 05:54:02 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:240000","לשתות קפה","0"
"56f0b3d9e60748890700001d","object spark","6","Tue Mar 22 2016 05:54:17 GMT+0000 (UTC)","/getDuration/A/6","getDuration","A","ertest","6:30000","לזרוק זבל","0"
"56f0b3dbe60748890700001f","object spark","5","Tue Mar 22 2016 05:54:19 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:60000","להכין תיק","0"
"56f0b3dfe607488907000020","object spark","2","Tue Mar 22 2016 05:54:23 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:60000","לצחצח שיניים","0"
"56f20533974f001a0d000013","object spark","4","Wed Mar 23 2016 05:53:39 GMT+0000 (UTC)","/getDuration/A/4","getDuration","A","ertest","4:240000","להתלבש","0"
"56f20535974f001a0d000014","object spark","2","Wed Mar 23 2016 05:53:41 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:60000","לצחצח שיניים","0"
"56f20537974f001a0d000015","object spark","6","Wed Mar 23 2016 05:53:43 GMT+0000 (UTC)","/getDuration/A/6","getDuration","A","ertest","6:30000","לזרוק זבל","0"
"56f20551974f001a0d000019","object spark","3","Wed Mar 23 2016 05:54:09 GMT+0000 (UTC)","/getDuration/A/3","getDuration","A","ertest","3:180000","לאכול","0"
"56f2055f974f001a0d00001c","object spark","1","Wed Mar 23 2016 05:54:23 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:240000","לשתות קפה","0"
"56f2055f974f001a0d00001d","object spark","5","Wed Mar 23 2016 05:54:23 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:60000","להכין תיק","0"
"56f237e3974f001a0d00001f","object spark","6","Wed Mar 23 2016 09:29:55 GMT+0000 (UTC)","/getDuration/A/6","getDuration","A","ertest","6:30000","לזרוק זבל","0"
"56f23816974f001a0d000021","object spark","2","Wed Mar 23 2016 09:30:46 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:60000","לצחצח שיניים","0"
"56f23852ef50ec3c14000002","object spark","2","Wed Mar 23 2016 09:31:46 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:60000","לצחצח שיניים","0"
"56f23bb26090155d14000002","object spark","2","Wed Mar 23 2016 09:46:10 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:60000","לצחצח שיניים","0"
"56f27de9101f496a14000002","object spark","2","Wed Mar 23 2016 14:28:41 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:-1","","0"
"56f27e05101f496a14000004","object spark","2","Wed Mar 23 2016 14:29:09 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:-1","","0"
"56f27e51101f496a1400000f","object spark","2","Wed Mar 23 2016 14:30:25 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:60000","לצחצח שיניים","0"
"56f27eed101f496a14000012","object spark","6","Wed Mar 23 2016 14:33:01 GMT+0000 (UTC)","/getDuration/A/6","getDuration","A","ertest","6:30000","לזרוק זבל","0"
"56f27fc8101f496a1400001b","object spark","6","Wed Mar 23 2016 14:36:40 GMT+0000 (UTC)","/getDuration/A/6","getDuration","A","ertest","6:30000","לזרוק זבל","0"
"56f280c6101f496a1400001e","object spark","2","Wed Mar 23 2016 14:40:54 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:60000","לצחצח שיניים","0"
"56f280e0101f496a14000020","object spark","2","Wed Mar 23 2016 14:41:20 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:60000","לצחצח שיניים","0"
"56f28151101f496a14000024","object spark","2","Wed Mar 23 2016 14:43:13 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:60000","לצחצח שיניים","0"
"56f4a86915677a5d1c00002f","object spark","3","Fri Mar 25 2016 05:54:33 GMT+0000 (UTC)","/getDuration/A/3","getDuration","A","ertest","3:180000","לאכול","0"
"56f4a86915677a5d1c000030","object spark","4","Fri Mar 25 2016 05:54:33 GMT+0000 (UTC)","/getDuration/A/4","getDuration","A","ertest","4:240000","להתלבש","0"
"56fba4546e5aaa9f40000002","object spark","2","Wed Mar 30 2016 13:03:00 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:60000","לצחצח שיניים","0"
"56fba4eb6e5aaa9f4000000c","object spark","2","Wed Mar 30 2016 13:05:31 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:60000","לצחצח שיניים","0"
"56fbcf766e5aaa9f40000046","object spark","6","Wed Mar 30 2016 16:07:02 GMT+0000 (UTC)","/getDuration/A/6","getDuration","A","ertest","6:30000","לזרוק זבל","0"
"56fc912f6e5aaa9f40000062","object spark","1","Thu Mar 31 2016 05:53:35 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:240000","לשתות קפה","0"
"56fc91316e5aaa9f40000064","object spark","2","Thu Mar 31 2016 05:53:37 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:60000","לצחצח שיניים","0"
"56fc91346e5aaa9f40000065","object spark","6","Thu Mar 31 2016 05:53:40 GMT+0000 (UTC)","/getDuration/A/6","getDuration","A","ertest","6:30000","לזרוק זבל","0"
"56fc91466e5aaa9f40000070","object spark","4","Thu Mar 31 2016 05:53:58 GMT+0000 (UTC)","/getDuration/A/4","getDuration","A","ertest","4:240000","להתלבש","0"
"56fc91466e5aaa9f40000071","object spark","3","Thu Mar 31 2016 05:53:58 GMT+0000 (UTC)","/getDuration/A/3","getDuration","A","ertest","3:180000","לאכול","0"
"56fc916a6e5aaa9f4000007d","object spark","5","Thu Mar 31 2016 05:54:34 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:60000","להכין תיק","0"
"56fde2a76e5aaa9f4000008f","object spark","1","Fri Apr 01 2016 05:53:27 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:-1","","0"
"56fde2c36e5aaa9f40000098","object spark","6","Fri Apr 01 2016 05:53:55 GMT+0000 (UTC)","/getDuration/A/6","getDuration","A","ertest","6:-1","","0"
"56fde2c36e5aaa9f40000099","object spark","2","Fri Apr 01 2016 05:53:55 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:-1","","0"
"56fde2dd6e5aaa9f400000a4","object spark","5","Fri Apr 01 2016 05:54:21 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:-1","","0"
"56fde2de6e5aaa9f400000a6","object spark","3","Fri Apr 01 2016 05:54:22 GMT+0000 (UTC)","/getDuration/A/3","getDuration","A","ertest","3:-1","","0"
"56fde2e86e5aaa9f400000aa","object spark","4","Fri Apr 01 2016 05:54:32 GMT+0000 (UTC)","/getDuration/A/4","getDuration","A","ertest","4:-1","","0"
"56ff342e6e5aaa9f400000b7","object spark","5","Sat Apr 02 2016 05:53:34 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:60000","להכין תיק","0"
"56ff342f6e5aaa9f400000b8","object spark","3","Sat Apr 02 2016 05:53:35 GMT+0000 (UTC)","/getDuration/A/3","getDuration","A","ertest","3:180000","לאכול","0"
"56ff343a6e5aaa9f400000bc","object spark","4","Sat Apr 02 2016 05:53:46 GMT+0000 (UTC)","/getDuration/A/4","getDuration","A","ertest","4:240000","להתלבש","0"
"56ff34506e5aaa9f400000c4","object spark","6","Sat Apr 02 2016 05:54:08 GMT+0000 (UTC)","/getDuration/A/6","getDuration","A","ertest","6:30000","לזרוק זבל","0"
"56ff34536e5aaa9f400000c7","object spark","2","Sat Apr 02 2016 05:54:11 GMT+0000 (UTC)","/getDuration/A/2","getDuration","A","ertest","2:60000","לצחצח שיניים","0"
"56ff3cdc6e5aaa9f400000cb","object spark","1","Sat Apr 02 2016 06:30:36 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:240000","לשתות קפה","0"
"570085a26e5aaa9f40000102","object spark","5","Sun Apr 03 2016 05:53:22 GMT+0000 (UTC)","/getDuration/A/5","getDuration","A","ertest","5:60000","להכין תיק","0"
"570085a86e5aaa9f40000105","object spark","1","Sun Apr 03 2016 05:53:28 GMT+0000 (UTC)","/getDuration/A/1","getDuration","A","ertest","1:240000","לשתות קפה","0"
"570085a86e5aaa9f40000106","object spark","3","Sun Apr 03 2016 05:53:28 GMT+0000 (UTC)","/getDuration/A/3","getDuration","A","ertest","3:180000","לאכול","0"
"570085be6e5aaa9f4000010f","object spark","4","Sun Apr 03 2016 05:53:50 GMT+0000 (UTC)","/getDuration/A/4","getDuration","A","ertest","4:240000","להתלבש","0"
